,elevation_m,slope_deg,aspect_deg,rain_annual_total,rain_monsoon_total,rain_max_1day,rain_max_3day,rain_max_7day,ndvi_median,ndvi_max,ndvi_amplitude,evi_median,lst_day_mean_c,lst_day_max_c,modis_lc_type1,dist_road_m,log1p_dist_road_m,dist_river_m,log1p_dist_river_m,dist_fault_m,log1p_dist_fault_m,lithology_code,profile_curvature,plan_curvature,tri,twi,valley_depth,relief,ls_factor,soil_type,eq_density_ms5
lithology_code,-0.00465252090727383,0.11066025315438031,0.46240251669850646,0.4097819022748427,0.3341208209130925,0.4678141756119238,0.45309146120263805,0.4088218500163354,0.2589993866850998,0.38511431163296456,0.3819206465251364,0.19455845395708296,-0.20453248133235757,-0.25262459662578624,-0.3643600452894225,0.2032272887301953,0.2032272887301953,-0.042824406137466874,-0.042824406137466874,0.014108597622485675,0.014108597622485675,1.0,0.04647757919695576,-0.13263046872858533,0.20892440076815608,-0.04047143288765986,0.14966405794672827,0.1904310541883718,0.18045636988316463,-0.005438483388155561,0.030842640991295293
profile_curvature,0.33195119531633493,0.27274950349530674,-0.03600200749696564,0.19935012616169123,0.008477560886671587,0.09240915129441724,0.11539792183730985,0.13435617314672538,-0.14720656291420656,-0.06534574420579929,0.020719014495015512,-0.21627769602455021,-0.2790215157580986,-0.27330538698165324,0.037681652304299325,-0.06648266333200462,-0.06648266333200462,-0.07962349874675492,-0.07962349874675492,-0.09949268083114038,-0.09949268083114038,0.04647757919695576,1.0,-0.155402035084259,0.47009746511487266,-0.39126912731004193,0.17281332258000712,0.5114641753914914,0.43015693657623877,0.12541122783740188,0.030211619722474405
plan_curvature,-0.2556135583495933,-0.21488033011375138,-0.03520163205978315,-0.21146874336203642,-0.041560851490183494,-0.11574604216909538,-0.1501441631326771,-0.15603320233217022,0.05620942816844187,-0.010303515185064996,-0.05721567878943169,0.11578833984952397,0.23120666293535863,0.23482450022008533,-0.01800319425788084,0.018361220078987064,0.018361220078987064,0.05660534634444566,0.05660534634444566,0.045353285150892396,0.045353285150892396,-0.13263046872858533,-0.155402035084259,1.0,-0.5567185496249775,0.28024688016466553,-0.24770473625253653,-0.5852077160744957,-0.544537672235603,-0.08817998245696451,0.010378299653224473
tri,0.500105491016168,0.38523260452973535,0.08577481670876169,0.38223982867412754,0.09944913316085366,0.20081106510000385,0.2788600863245069,0.29969226549829125,-0.12401001969495724,0.07235861356383266,0.2323974036902217,-0.25448465635006956,-0.5025463245172678,-0.5082636928662734,0.0013087122514723148,-0.04110864878618884,-0.04110864878618884,-0.0745108384718993,-0.0745108384718993,0.03951062925575542,0.03951062925575542,0.20892440076815608,0.47009746511487266,-0.5567185496249775,1.0,-0.5634711819623369,0.35126660731198894,0.9621541592265045,0.835623168676853,0.19074799051812852,-0.043180180179257156
twi,-0.23719633971963666,-0.14078200057365867,0.0062011858140579015,-0.12260277600164986,-0.02867524761716882,-0.06415495968822144,-0.06268876635195837,-0.06874961927048488,0.09142488786998132,0.048623239778665256,0.032687602284932595,0.12617292958026965,0.1594597758345144,0.17927368405718913,-0.007005507908040368,-0.025030809146660806,-0.025030809146660806,-0.011739230611267984,-0.011739230611267984,0.11596671211948233,0.11596671211948233,-0.04047143288765986,-0.39126912731004193,0.28024688016466553,-0.5634711819623369,1.0,0.14267681557023004,-0.5988389165548647,-0.3436885484560343,-0.07922616221785078,-0.048082574398893026
valley_depth,0.33053370141183464,0.38102240722900227,0.012213638054429257,0.3369980079650227,0.048465877059519824,0.1557296990019094,0.24676990362802864,0.266027643678449,-0.07295406487731375,0.12700320015760613,0.3178657794611715,-0.19200416814725435,-0.42395861711972094,-0.36909462375167346,0.0325228676658249,-0.16321493471562365,-0.16321493471562365,-0.27951181485132065,-0.27951181485132065,0.16904703726169665,0.16904703726169665,0.14966405794672827,0.17281332258000712,-0.24770473625253653,0.35126660731198894,0.14267681557023004,1.0,0.354406760725214,0.4323742570407282,0.06597339170297349,-0.08218288083345895
relief,0.5394873268409528,0.41150856110117917,0.07391082160529927,0.3992418313746717,0.09558979662105013,0.20693657651271224,0.2838930399458944,0.30842730989632566,-0.15396437414512568,0.042508336201714736,0.20566010386773187,-0.2857653364236177,-0.5210598349134066,-0.5166942719639618,0.018108666242679074,-0.04010495878526962,-0.04010495878526962,-0.06606572694022193,-0.06606572694022193,0.009615824886327784,0.009615824886327784,0.1904310541883718,0.5114641753914914,-0.5852077160744957,0.9621541592265045,-0.5988389165548647,0.354406760725214,1.0,0.8643168960421403,0.21034272347828664,-0.030183704796461746
ls_factor,0.5392395437743015,0.417128220555219,0.07362537576762997,0.4132389902836664,0.11716901193181549,0.20709175256775314,0.28540970774853625,0.3127044565580099,-0.13114830251698262,0.06599332087904007,0.2308534012201143,-0.26220607354180786,-0.5319011347937597,-0.520535685626843,0.025662509634936694,-0.04481430024740652,-0.04481430024740652,-0.054181485884926876,-0.054181485884926876,0.021127933123505072,0.021127933123505072,0.18045636988316463,0.43015693657623877,-0.544537672235603,0.835623168676853,-0.3436885484560343,0.4323742570407282,0.8643168960421403,1.0,0.22056825337640545,-0.05547541006150362
soil_type,0.310182582283143,0.062050412660600664,0.1054593377388383,0.11128508990684127,0.11523319499048755,0.007392014378078388,0.0638347200824361,0.08637898183278879,-0.2526373639829309,-0.14075510455726853,0.0044021630340217175,-0.2657293082171308,-0.2507506117540125,-0.24781207638363895,0.034327961317501626,-0.0675348294837983,-0.0675348294837983,0.19200049281909154,0.19200049281909154,0.05891245362419526,0.05891245362419526,-0.005438483388155561,0.12541122783740188,-0.08817998245696451,0.19074799051812852,-0.07922616221785078,0.06597339170297349,0.21034272347828664,0.22056825337640545,1.0,-0.09323797400019601
eq_density_ms5,-0.14635618408041778,0.08520916893567122,0.10991530390210788,-0.02193029433042005,0.0560427240780081,0.012098881617982005,-0.04916193252111645,-0.07620116152225695,0.15589062545107946,0.053201153503770665,-0.09943432871809572,0.17219552911083227,0.14471135546703956,0.13272651985558684,-0.12524639212612634,-0.09449652950685278,-0.09449652950685278,-0.09428173538653242,-0.09428173538653242,-0.30478863173206305,-0.30478863173206305,0.030842640991295293,0.030211619722474405,0.010378299653224473,-0.043180180179257156,-0.048082574398893026,-0.08218288083345895,-0.030183704796461746,-0.05547541006150362,-0.09323797400019601,1.0
