feature_set,recall,precision,threshold
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4985094402119907,0.0225573597782453
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4986746189529489,0.0225691757357477
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4988399071925754,0.0225871327943601
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4990053050397878,0.0225895294151328
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4991708126036484,0.0226001469788114
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4993364299933643,0.0226056523514936
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4995021573182874,0.0226293988175859
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.499667994687915,0.0226327999106668
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.4998339422118897,0.0226346560994362
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.5,0.0226623227811579
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.5001661681621802,0.0226766736982466
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.5003324468085106,0.0226788309243365
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.5004988360492185,0.0226850129056313
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.5006653359946773,0.0226860705094535
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.5008319467554077,0.0226882959959012
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.5009986684420772,0.0226918628516291
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.5011655011655012,0.0227477732458958
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.5013324450366422,0.0227514772218805
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.5014995001666112,0.0227637221689017
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.5016666666666667,0.0227730205781282
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.5018339446482161,0.0227861618805875
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.5020013342228152,0.0228369457058476
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.5021688355021688,0.0228460781414532
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.5023364485981309,0.0228587869640864
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.5025041736227045,0.0228797446219811
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.5026720106880428,0.0228813280137048
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.5028399599064484,0.0228837469605138
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.5030080213903744,0.0228917172820654
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.503176195252424,0.0228927959851359
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.5033444816053512,0.0229045883122488
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.5035128805620609,0.0229062919741428
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.5036813922356091,0.0229086380377561
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.5038500167392033,0.0229227698159444
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.5040187541862022,0.0229267966860232
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.5041876046901173,0.0229346000483568
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.5043565683646113,0.0229382369977763
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.5045256453234999,0.0229809157950238
Conventional + AlphaEarth Embeddings,0.9980106100795756,0.5046948356807511,0.0229875970708919
