feature_set,feature_set_name,model,model_name,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,brier_mean,brier_std
conventional_usgs_annual_seismic,Conventional + annual USGS seismic factors,random_forest,Random Forest,0.9632583629343661,0.012202678552714025,0.9450855714746484,0.03203943173984773,0.851396975560401,0.048336921056951546,0.8212116133581396,0.07254098019921634,0.0929530605923286,0.018469556566724263
conventional_usgs_annual_seismic,Conventional + annual USGS seismic factors,lightgbm,LightGBM,0.9618455352353534,0.017358324449017148,0.9449571064889106,0.042194104596287356,0.7982108980492404,0.07430017120343156,0.7392887444805483,0.12773855257514422,0.09278558807749071,0.024676986031261457
conventional_gem_pga,Conventional + GEM PGA,xgboost,XGBoost,0.9601961286966161,0.017107396605867572,0.9448289622664319,0.03368286498093058,0.8525187784163645,0.045242894761676464,0.8249551662606874,0.06525637504647523,0.08995937193236747,0.029970467980949222
conventional_all_seismic_diagnostic,Conventional + all seismic factors (diagnostic),lightgbm,LightGBM,0.9619516319992238,0.018666996559863296,0.944649801111553,0.045331831387252115,0.7882942421822088,0.07587275441659491,0.7222065560675729,0.13426326010840417,0.09343550452730151,0.027622936431030774
conventional_current,Conventional,random_forest,Random Forest,0.9611959359196112,0.013349212262393243,0.9440563209466314,0.03305474112306801,0.857849098733124,0.03527254201303009,0.8303393074360471,0.056862708017943735,0.08939821509525145,0.016446096568143564
conventional_gem_pga,Conventional + GEM PGA,lightgbm,LightGBM,0.9604843365462707,0.0158942686191082,0.9431362965072971,0.040155921918970904,0.7974319451513836,0.057028440467866724,0.7421047932331423,0.09610097465094643,0.09580847782035407,0.021481366760031494
conventional_current,Conventional,xgboost,XGBoost,0.9576579708857287,0.018443932125418457,0.9419918847999291,0.03548706828538777,0.8530707637338164,0.04714846283177585,0.8252378244424017,0.06713499692796344,0.09183953267274216,0.03108061333472244
fused_current,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2),0.9593555507873113,0.028877910811382537,0.9404744521284369,0.05785865778572466,0.8773996089681602,0.07164914148832732,0.8542917930106354,0.10160793295361353,0.07829196489282715,0.03220864209148941
conventional_current,Conventional,lightgbm,LightGBM,0.9564459356262269,0.01743753685070483,0.9380828192284154,0.0410196029232746,0.8011267408733758,0.05516668387256613,0.7476004239230055,0.08858650779453789,0.09891247731770865,0.02235155574141088
fused_gem_usgs_seismic,Conventional + AlphaEarth Embeddings + seismic factors,logistic_l2,Logistic Regression (L2),0.9591299835975949,0.029704081345917538,0.9369642690754449,0.06509407387616128,0.8728067016439883,0.07795717675365892,0.8475165872794864,0.10956165897855871,0.07952311109366195,0.036637489671116366
conventional_current,Conventional,logistic_l2,Logistic Regression (L2),0.9229953462656244,0.04968247786513801,0.8979921947298146,0.09381968647310927,0.8264914901698676,0.09224758217398726,0.7835371409061548,0.14887172037358234,0.10887606547717277,0.03046010413486625
conventional_gem_pga,Conventional + GEM PGA,logistic_l2,Logistic Regression (L2),0.9218195300132421,0.048888363553288336,0.89615759977931,0.09193364619934961,0.8274900470106006,0.09185846893504948,0.7863408462604067,0.1522845633777213,0.11032577812205224,0.030856875273813224
conventional_all_seismic_diagnostic,Conventional + all seismic factors (diagnostic),logistic_l2,Logistic Regression (L2),0.9249600721197672,0.048752007737210286,0.8958984849446212,0.09686928244140737,0.8311936076079036,0.08159479483042777,0.7894914627960976,0.1323325544101067,0.10926959039928294,0.03328299432826011
conventional_usgs_annual_seismic,Conventional + annual USGS seismic factors,logistic_l2,Logistic Regression (L2),0.9201046535399954,0.05781181245854088,0.8899477426514645,0.11475783133009013,0.823090056195953,0.10334707234608607,0.7744333616033092,0.17457813336650863,0.11117081331745222,0.037049143332461974
conventional_gem_usgs_seismic,Conventional + GEM PGA + annual USGS seismic factors,logistic_l2,Logistic Regression (L2),0.9187647077482939,0.057383128215829686,0.8880345599404004,0.11369205717993885,0.820897613441774,0.07674667620655053,0.7808746343407533,0.12653757938779664,0.11231791937798015,0.03705508113381396
