feature_set,fpr,tpr,threshold
Conventional + AlphaEarth Embeddings,0.01991150442477876,0.7393899204244032,0.925846670097262
Conventional + AlphaEarth Embeddings,0.020464601769911505,0.7393899204244032,0.925367934180884
Conventional + AlphaEarth Embeddings,0.020464601769911505,0.7427055702917772,0.9224043387419478
Conventional + AlphaEarth Embeddings,0.02101769911504425,0.7427055702917772,0.9222731128516112
Conventional + AlphaEarth Embeddings,0.02101769911504425,0.7453580901856764,0.9208876154343686
Conventional + AlphaEarth Embeddings,0.02157079646017699,0.7453580901856764,0.920834134123661
Conventional + AlphaEarth Embeddings,0.02157079646017699,0.746684350132626,0.918697944687908
Conventional + AlphaEarth Embeddings,0.022123893805309734,0.746684350132626,0.918507684222915
Conventional + AlphaEarth Embeddings,0.022123893805309734,0.75,0.9163310488773628
Conventional + AlphaEarth Embeddings,0.022123893805309734,0.7513262599469496,0.9161297753436802
Conventional + AlphaEarth Embeddings,0.02267699115044248,0.7513262599469496,0.9158493623506336
Conventional + AlphaEarth Embeddings,0.02267699115044248,0.7553050397877984,0.9137898436035824
Conventional + AlphaEarth Embeddings,0.023230088495575223,0.7553050397877984,0.9130151249125088
Conventional + AlphaEarth Embeddings,0.023230088495575223,0.7559681697612732,0.9125014828937392
Conventional + AlphaEarth Embeddings,0.023230088495575223,0.7572944297082228,0.9124901583179836
Conventional + AlphaEarth Embeddings,0.023230088495575223,0.7692307692307693,0.90294397560327
Conventional + AlphaEarth Embeddings,0.023783185840707963,0.7692307692307693,0.902026165211794
Conventional + AlphaEarth Embeddings,0.023783185840707963,0.7718832891246684,0.8998311106362327
Conventional + AlphaEarth Embeddings,0.023783185840707963,0.773209549071618,0.8983481323563604
Conventional + AlphaEarth Embeddings,0.023783185840707963,0.7765251989389921,0.8952714411855571
Conventional + AlphaEarth Embeddings,0.023783185840707963,0.7778514588859416,0.8939038614897915
Conventional + AlphaEarth Embeddings,0.023783185840707963,0.7785145888594165,0.8937279726778548
Conventional + AlphaEarth Embeddings,0.024336283185840708,0.7785145888594165,0.8931999351134283
Conventional + AlphaEarth Embeddings,0.024336283185840708,0.7805039787798409,0.8917018631778861
Conventional + AlphaEarth Embeddings,0.024889380530973452,0.7805039787798409,0.8909464125072531
Conventional + AlphaEarth Embeddings,0.024889380530973452,0.7818302387267905,0.8908968633416952
Conventional + AlphaEarth Embeddings,0.024889380530973452,0.7824933687002652,0.8907121207343998
Conventional + AlphaEarth Embeddings,0.025442477876106196,0.7824933687002652,0.8903677154974767
Conventional + AlphaEarth Embeddings,0.025442477876106196,0.78315649867374,0.8901780090693532
Conventional + AlphaEarth Embeddings,0.025995575221238937,0.78315649867374,0.8894391160416666
Conventional + AlphaEarth Embeddings,0.025995575221238937,0.7858090185676393,0.887276759072013
Conventional + AlphaEarth Embeddings,0.02654867256637168,0.7858090185676393,0.8863000684948288
Conventional + AlphaEarth Embeddings,0.02654867256637168,0.7891246684350133,0.8848459487184414
Conventional + AlphaEarth Embeddings,0.027101769911504425,0.7891246684350133,0.8846271851189326
Conventional + AlphaEarth Embeddings,0.027101769911504425,0.7897877984084881,0.8835277339179407
Conventional + AlphaEarth Embeddings,0.02765486725663717,0.7897877984084881,0.8829774503519864
Conventional + AlphaEarth Embeddings,0.02765486725663717,0.7937665782493368,0.8786871661928536
Conventional + AlphaEarth Embeddings,0.02820796460176991,0.7937665782493368,0.87791411918497
Conventional + AlphaEarth Embeddings,0.02820796460176991,0.7950928381962865,0.8771750031306772
Conventional + AlphaEarth Embeddings,0.028761061946902654,0.7950928381962865,0.8770292053315517
Conventional + AlphaEarth Embeddings,0.028761061946902654,0.7970822281167109,0.8726386365980503
Conventional + AlphaEarth Embeddings,0.0293141592920354,0.7970822281167109,0.8724986108246097
Conventional + AlphaEarth Embeddings,0.0293141592920354,0.7997347480106101,0.8697482109928832
Conventional + AlphaEarth Embeddings,0.0293141592920354,0.8010610079575596,0.8690402036973041
Conventional + AlphaEarth Embeddings,0.0293141592920354,0.8063660477453581,0.8614839870639376
Conventional + AlphaEarth Embeddings,0.029867256637168143,0.8063660477453581,0.8609085222669122
Conventional + AlphaEarth Embeddings,0.029867256637168143,0.8070291777188329,0.8608631521195983
Conventional + AlphaEarth Embeddings,0.030420353982300884,0.8070291777188329,0.8583801623641819
Conventional + AlphaEarth Embeddings,0.030420353982300884,0.8076923076923077,0.857785081665133
Conventional + AlphaEarth Embeddings,0.030973451327433628,0.8076923076923077,0.8563630166436202
Conventional + AlphaEarth Embeddings,0.030973451327433628,0.8083554376657824,0.8558453348180661
Conventional + AlphaEarth Embeddings,0.030973451327433628,0.8096816976127321,0.8553286572493711
Conventional + AlphaEarth Embeddings,0.030973451327433628,0.8136604774535809,0.8459778020140059
Conventional + AlphaEarth Embeddings,0.03152654867256637,0.8136604774535809,0.8451565971067686
Conventional + AlphaEarth Embeddings,0.03152654867256637,0.8269230769230769,0.8253075661343622
Conventional + AlphaEarth Embeddings,0.032079646017699116,0.8269230769230769,0.8249316781289079
Conventional + AlphaEarth Embeddings,0.032079646017699116,0.8282493368700266,0.8247072814707047
