feature_set,feature_set_name,held_out_domain,n_test,latent_dimensions,threshold_quantile,explained_variance_ratio,reference_distance_threshold,aoa_coverage,median_dissimilarity_index,p90_dissimilarity_index
alphaearth_embeddings,AlphaEarth Embeddings,Balochistan,992,15,0.9,0.885845427137671,2.300869489583177,0.33568548387096775,1.1035913095534242,1.4495178308781616
alphaearth_embeddings,AlphaEarth Embeddings,Balochistan,992,15,0.95,0.885845427137671,2.5241129076172224,0.49294354838709675,1.005984940474654,1.3213162301930275
alphaearth_embeddings,AlphaEarth Embeddings,Balochistan,992,15,0.975,0.885845427137671,2.7166740879580207,0.6290322580645161,0.9346794981319284,1.2276597205597104
alphaearth_embeddings,AlphaEarth Embeddings,Balochistan,992,15,0.99,0.885845427137671,2.9497899648057313,0.7540322580645161,0.8608136862001448,1.130640279974645
alphaearth_embeddings,AlphaEarth Embeddings,Balochistan,992,20,0.9,0.9309967733290888,3.103238624851715,0.33568548387096775,1.0877852894876603,1.3335069519445761
alphaearth_embeddings,AlphaEarth Embeddings,Balochistan,992,20,0.95,0.9309967733290888,3.3258959899046,0.4637096774193548,1.0149617835705194,1.2442332208655111
alphaearth_embeddings,AlphaEarth Embeddings,Balochistan,992,20,0.975,0.9309967733290888,3.638273681840567,0.6622983870967742,0.9278184163913417,1.1374048907967853
alphaearth_embeddings,AlphaEarth Embeddings,Balochistan,992,20,0.99,0.9309967733290888,4.022752674049605,0.8588709677419355,0.8391411551745787,1.0286961727669115
alphaearth_embeddings,AlphaEarth Embeddings,Gilgit-Baltistan,721,5,0.9,0.5682290722891483,0.556696652652622,0.8446601941747572,0.6693785936234845,1.1103153089653472
alphaearth_embeddings,AlphaEarth Embeddings,Gilgit-Baltistan,721,5,0.95,0.5682290722891483,0.6357266261944459,0.9112343966712899,0.5861651959714146,0.9722871284943057
alphaearth_embeddings,AlphaEarth Embeddings,Gilgit-Baltistan,721,5,0.975,0.5682290722891483,0.7200016016784369,0.9667128987517337,0.5175555464860485,0.8584825567735708
alphaearth_embeddings,AlphaEarth Embeddings,Gilgit-Baltistan,721,5,0.99,0.5682290722891483,0.7865498017403707,0.9889042995839112,0.4737663420713915,0.7858482889733152
alphaearth_embeddings,AlphaEarth Embeddings,Gilgit-Baltistan,721,10,0.9,0.7789738217229907,1.4676020936138585,0.8044382801664355,0.7912626388215623,1.0959584868507812
alphaearth_embeddings,AlphaEarth Embeddings,Gilgit-Baltistan,721,10,0.95,0.7789738217229907,1.5961766663755805,0.8932038834951457,0.7275251729934179,1.007677285164385
alphaearth_embeddings,AlphaEarth Embeddings,Gilgit-Baltistan,721,10,0.975,0.7789738217229907,1.7531062306085061,0.957004160887656,0.6624006492349733,0.9174749035361045
alphaearth_embeddings,AlphaEarth Embeddings,Gilgit-Baltistan,721,10,0.99,0.7789738217229907,1.9065213054567502,0.9930651872399445,0.6090982052019321,0.843646994771321
alphaearth_embeddings,AlphaEarth Embeddings,Gilgit-Baltistan,721,15,0.9,0.8794861287331085,2.305827402283386,0.9292649098474342,0.7617104055447449,0.9727740538364974
alphaearth_embeddings,AlphaEarth Embeddings,Gilgit-Baltistan,721,15,0.95,0.8794861287331085,2.5159886007742776,0.984743411927878,0.698084532326161,0.8915179778144492
alphaearth_embeddings,AlphaEarth Embeddings,Gilgit-Baltistan,721,15,0.975,0.8794861287331085,2.644270613027011,0.9930651872399445,0.6642182222412054,0.8482675935345264
alphaearth_embeddings,AlphaEarth Embeddings,Gilgit-Baltistan,721,15,0.99,0.8794861287331085,2.8348762752552537,0.9972260748959778,0.619558864363955,0.7912334972588969
alphaearth_embeddings,AlphaEarth Embeddings,Gilgit-Baltistan,721,20,0.9,0.9260374590650629,3.057442996745504,0.8751733703190014,0.7929968457630836,1.0214658043505416
alphaearth_embeddings,AlphaEarth Embeddings,Gilgit-Baltistan,721,20,0.95,0.9260374590650629,3.30907378188188,0.957004160887656,0.7326952532139583,0.9437908235912695
alphaearth_embeddings,AlphaEarth Embeddings,Gilgit-Baltistan,721,20,0.975,0.9260374590650629,3.5330337117821937,0.9819694868238558,0.6862495097157125,0.8839636767437415
alphaearth_embeddings,AlphaEarth Embeddings,Gilgit-Baltistan,721,20,0.99,0.9260374590650629,3.9557051925835096,0.9986130374479889,0.6129229895760058,0.7895111788871372
alphaearth_embeddings,AlphaEarth Embeddings,KPK-AJK,351,5,0.9,0.5934494910390594,0.485709171163163,0.49002849002849,1.0134423219479047,1.7366607283851516
alphaearth_embeddings,AlphaEarth Embeddings,KPK-AJK,351,5,0.95,0.5934494910390594,0.5612719519544158,0.5925925925925926,0.8770048610142659,1.5028579996530336
alphaearth_embeddings,AlphaEarth Embeddings,KPK-AJK,351,5,0.975,0.5934494910390594,0.631736946243834,0.6723646723646723,0.7791822737956456,1.3352267078740607
alphaearth_embeddings,AlphaEarth Embeddings,KPK-AJK,351,5,0.99,0.5934494910390594,0.7862407712745413,0.8547008547008547,0.6260655109719658,1.0728419000813016
alphaearth_embeddings,AlphaEarth Embeddings,KPK-AJK,351,10,0.9,0.802349073799595,1.3614714436594295,0.5413105413105413,0.9679757950664,1.3461249105427078
alphaearth_embeddings,AlphaEarth Embeddings,KPK-AJK,351,10,0.95,0.802349073799595,1.4987487410075262,0.698005698005698,0.8793144354873674,1.222827132498854
alphaearth_embeddings,AlphaEarth Embeddings,KPK-AJK,351,10,0.975,0.802349073799595,1.6296568250466503,0.7891737891737892,0.8086803202255238,1.1245991162894298
alphaearth_embeddings,AlphaEarth Embeddings,KPK-AJK,351,10,0.99,0.802349073799595,1.8096266479686949,0.8888888888888888,0.7282559662877123,1.0127562098843526
alphaearth_embeddings,AlphaEarth Embeddings,KPK-AJK,351,15,0.9,0.8898436491067065,2.198987790411928,0.47863247863247865,1.031479267560499,1.4592551002265495
alphaearth_embeddings,AlphaEarth Embeddings,KPK-AJK,351,15,0.95,0.8898436491067065,2.3958230499702937,0.5954415954415955,0.9467353256563332,1.339366089049984
alphaearth_embeddings,AlphaEarth Embeddings,KPK-AJK,351,15,0.975,0.8898436491067065,2.5779922732940594,0.6752136752136753,0.8798359634066488,1.244722174591442
alphaearth_embeddings,AlphaEarth Embeddings,KPK-AJK,351,15,0.99,0.8898436491067065,2.7766191301131156,0.7435897435897436,0.8168964518141066,1.1556803429369844
alphaearth_embeddings,AlphaEarth Embeddings,KPK-AJK,351,20,0.9,0.9340708882575568,2.9607942470221746,0.43304843304843305,1.0449220530479382,1.4358430369525435
alphaearth_embeddings,AlphaEarth Embeddings,KPK-AJK,351,20,0.95,0.9340708882575568,3.2033099079103127,0.5584045584045584,0.9658132657133954,1.32713846791341
alphaearth_embeddings,AlphaEarth Embeddings,KPK-AJK,351,20,0.975,0.9340708882575568,3.4900166586909953,0.6780626780626781,0.8864711850433774,1.2181133270092912
alphaearth_embeddings,AlphaEarth Embeddings,KPK-AJK,351,20,0.99,0.9340708882575568,3.93324095657196,0.8319088319088319,0.786577592730895,1.0808480462740653
alphaearth_embeddings,AlphaEarth Embeddings,Kashgar,846,5,0.9,0.5982684682620761,0.5135164796358669,0.5791962174940898,0.8958800114144869,1.5719558996484064
alphaearth_embeddings,AlphaEarth Embeddings,Kashgar,846,5,0.95,0.5982684682620761,0.5986179190411149,0.6950354609929078,0.7685188414917964,1.348481617495381
alphaearth_embeddings,AlphaEarth Embeddings,Kashgar,846,5,0.975,0.5982684682620761,0.6639333713745934,0.7588652482269503,0.6929146349207176,1.2158226932606504
alphaearth_embeddings,AlphaEarth Embeddings,Kashgar,846,5,0.99,0.5982684682620761,0.7719171502563418,0.8747044917257684,0.5959825474598308,1.0457408019270134
