segment_id,length_km,route_code,is_kkh_proxy,road_type,road_rank,domain,sample_n,mean_fused_probability,max_fused_probability,mean_fused_transfer_confidence,mean_reliability_weighted_probability,mean_final_reliability_aware_score,mean_field_verification_priority,reliable_high_share,reliable_very_high_share,uncertain_high_share,fused_aoa_share,mean_model_disagreement_std,outside_aoa_share,reliability_aware_road_priority_score,field_verification_road_priority_score,hotspot_rank
1684,9.999999999999975,314,True,Highway,1,"Kashgar (Xinjiang, China)",10,0.8338458,0.94916457,0.055810075,0.05058826,0.03410134,0.9109907,0.0,0.0,1.0,0.8,0.1860655,0.1999999999999999,0.034101340919733,1.1809907150268557,106
1685,10.000000000000044,314,True,Highway,1,"Kashgar (Xinjiang, China)",11,0.9123613,0.96953154,0.06361422,0.05920825,0.031481866,0.9801243,0.0,0.0,1.0,0.8181818181818182,0.24620181,0.1818181818181817,0.0314818657934665,1.248306112939661,117
1694,10.000000000000034,314,True,Highway,1,"Kashgar (Xinjiang, China)",11,0.9796974,0.9905573,0.035380837,0.034656968,0.030826606,0.97034985,0.0,0.0,1.0,0.4545454545454545,0.041599676,0.5454545454545454,0.0308266058564186,1.2748953028158707,123
1794,10.000000000000046,unknown,False,Major road,2,"Kashgar (Xinjiang, China)",11,0.931259,0.9862553,0.04606428,0.04440653,0.029447729,0.9548239,0.0,0.0,1.0,0.2727272727272727,0.20066181,0.7272727272727273,0.029447728767991,1.2775511839173057,127
1680,9.999999999999991,314,True,Highway,1,"Kashgar (Xinjiang, China)",10,0.9480718,0.980282,0.035091,0.033415545,0.029040813,0.9628242,0.0,0.0,1.0,0.5,0.104012586,0.5,0.0290408134460449,1.2628242254257205,129
1698,10.000000000000115,314,True,Highway,1,"Kashgar (Xinjiang, China)",11,0.9937832,0.9948515,0.029385675,0.029209007,0.028601037,0.97148156,0.0,0.0,1.0,0.4545454545454545,0.010663232,0.5454545454545454,0.028601037338376,1.276027016206221,134
1661,9.999999999999972,219,False,Major road,2,"Kashgar (Xinjiang, China)",10,0.9531635,0.97799194,0.037081927,0.03563311,0.026959721,0.9789856,0.0,0.0,1.0,0.5,0.20437257,0.5,0.0269597209990024,1.278985607624054,140
1681,9.999999999999948,314,True,Highway,1,"Kashgar (Xinjiang, China)",10,0.9299797,0.9734253,0.031912416,0.031003255,0.026108474,0.97695667,0.0,0.0,1.0,0.3,0.17343764,0.7,0.0261084735393524,1.2969566655158995,144
1682,10.000000000000032,314,True,Highway,1,"Kashgar (Xinjiang, China)",11,0.970207,0.9924083,0.028076865,0.027390497,0.02320001,0.9845293,0.0,0.0,1.0,0.4545454545454545,0.10070414,0.5454545454545454,0.0232000108808279,1.289074770970778,158
1679,10.000000000000028,314,True,Highway,1,"Kashgar (Xinjiang, China)",11,0.9298054,0.9778199,0.0448191,0.041888528,0.022967778,0.98697466,0.0,0.0,1.0,0.4545454545454545,0.24105573,0.5454545454545454,0.0229677781462669,1.2915201111273331,162
1666,10.000000000000046,219,False,Major road,2,"Kashgar (Xinjiang, China)",11,0.9772675,0.98685133,0.024919955,0.024466546,0.022297852,0.9770554,0.0,0.0,1.0,0.2727272727272727,0.07093824,0.7272727272727273,0.0222978517413139,1.2997826435349205,167
