label,hazard_type,spatial_block_1deg,longitude,latitude,sample_id,feature_set,feature_set_name,held_out_domain,dissimilarity_index,inside_aoa
0,non_landslide,72_34,72.76690626580834,34.828807616575006,149,conventional,Conventional,KPK-AJK,1.0012718347579261,False
0,non_landslide,72_34,72.89716106668054,34.75244997013581,150,conventional,Conventional,KPK-AJK,1.3342614846407228,False
0,non_landslide,72_34,72.98699411650327,34.99275092590599,151,conventional,Conventional,KPK-AJK,1.150584329629974,False
0,non_landslide,72_34,72.1313505926607,34.48969298146044,152,conventional,Conventional,KPK-AJK,1.066938481104329,False
0,non_landslide,72_34,72.18300036016277,34.86922936762449,153,conventional,Conventional,KPK-AJK,0.7802079152241878,True
0,non_landslide,72_34,72.44575734883811,34.4043547054996,154,conventional,Conventional,KPK-AJK,0.9549852481787868,True
0,non_landslide,72_34,72.65012686831965,34.208970274640755,155,conventional,Conventional,KPK-AJK,1.0032572355977945,False
0,non_landslide,72_34,72.65461718308046,34.33697768858203,156,conventional,Conventional,KPK-AJK,0.8601697426196202,True
0,non_landslide,72_34,72.83427882362486,34.828807616575006,157,conventional,Conventional,KPK-AJK,1.0823684461536291,False
0,non_landslide,72_34,72.52660531003814,34.86024873810285,158,conventional,Conventional,KPK-AJK,1.1760494779745185,False
0,non_landslide,72_34,72.87021471901457,34.72549916336876,159,conventional,Conventional,KPK-AJK,0.9504303579493486,True
0,non_landslide,72_34,72.96453808359811,34.29879886536243,160,conventional,Conventional,KPK-AJK,1.1703381784387783,False
0,non_landslide,72_34,72.12461289096893,34.97253782083072,161,conventional,Conventional,KPK-AJK,0.5710012628732175,True
0,non_landslide,72_34,72.00109133268744,34.49643068315221,162,conventional,Conventional,KPK-AJK,0.6860140784183978,True
0,non_landslide,72_34,72.31325962013602,34.32125935736863,163,conventional,Conventional,KPK-AJK,0.6765362309272059,True
0,non_landslide,72_34,72.57825953664126,34.37740389873258,164,conventional,Conventional,KPK-AJK,1.435530004294525,False
0,non_landslide,72_34,72.28181849860817,34.359438180588235,165,conventional,Conventional,KPK-AJK,0.9413470142279173,True
0,non_landslide,72_34,72.00109133268744,34.57054094266047,166,conventional,Conventional,KPK-AJK,0.712078908175085,True
0,non_landslide,72_34,72.77364396750009,34.73897456675228,167,conventional,Conventional,KPK-AJK,0.8933660551364294,True
0,non_landslide,72_34,72.66584519953304,34.9298686828503,168,conventional,Conventional,KPK-AJK,1.0812128744510903,False
0,non_landslide,72_34,72.20321346523804,34.013585843781925,169,conventional,Conventional,KPK-AJK,0.8924461483698225,True
1,landslide,72_34,72.89491813885066,34.94333962713275,330,conventional,Conventional,KPK-AJK,1.3146421967576598,False
1,landslide,72_34,72.94881529328366,34.759187671827554,331,conventional,Conventional,KPK-AJK,2.083844316330709,False
1,landslide,72_34,72.94881529328366,34.77041568828013,332,conventional,Conventional,KPK-AJK,1.2503712375706184,False
1,landslide,72_34,72.97351871311976,34.70079574353268,333,conventional,Conventional,KPK-AJK,0.8418258648127632,True
1,landslide,72_34,72.96453808359811,34.71876146167701,334,conventional,Conventional,KPK-AJK,1.2304345346757786,False
1,landslide,72_34,72.79385707257536,34.02032354547369,405,conventional,Conventional,KPK-AJK,0.8978823519348264,True
1,landslide,72_34,72.79610000040525,34.01807615854274,406,conventional,Conventional,KPK-AJK,1.1405252776004609,False
1,landslide,72_34,72.80508508902794,34.03155156192625,407,conventional,Conventional,KPK-AJK,1.0167946090627962,False
1,landslide,72_34,72.80733247595887,34.03155156192625,408,conventional,Conventional,KPK-AJK,1.2881081948052535,False
1,landslide,72_34,72.80733247595887,34.03155156192625,409,conventional,Conventional,KPK-AJK,1.2881081948052535,False
1,landslide,72_34,72.80733247595887,34.03379894885719,410,conventional,Conventional,KPK-AJK,1.1998615142800093,False
1,landslide,72_34,72.80957540378876,34.03379894885718,411,conventional,Conventional,KPK-AJK,1.1258941487703262,False
1,landslide,72_34,72.80957540378876,34.036041876687065,412,conventional,Conventional,KPK-AJK,1.108120207083245,False
1,landslide,72_34,72.8118227907197,34.03604187668707,413,conventional,Conventional,KPK-AJK,1.0801967730514126,False
1,landslide,72_34,72.02804213945446,34.53685243420169,414,conventional,Conventional,KPK-AJK,0.9754321485009145,True
1,landslide,72_34,72.0302895263854,34.53460950637181,415,conventional,Conventional,KPK-AJK,0.9160825997555522,True
1,rockfall,72_34,72.79385707257536,34.013585843781925,688,conventional,Conventional,KPK-AJK,1.03499568593083,False
1,rockfall,72_34,72.80059477426713,34.01583323071286,689,conventional,Conventional,KPK-AJK,1.2279112173107523,False
1,rockfall,72_34,72.81407017765063,34.01583323071286,690,conventional,Conventional,KPK-AJK,1.061363915062901,False
1,rockfall,72_34,72.81856049241145,34.03379894885719,691,conventional,Conventional,KPK-AJK,1.17811320046403,False
0,non_landslide,69_31,69.86085660006502,31.98114542002551,820,conventional,Conventional,KPK-AJK,0.7510375574471104,True
0,non_landslide,69_31,69.97089829586197,31.63529754232024,830,conventional,Conventional,KPK-AJK,0.6809752978562985,True
0,non_landslide,73_34,73.82916669606338,34.114646910057225,880,conventional,Conventional,KPK-AJK,0.8899182931853311,True
0,non_landslide,73_34,73.34407446976216,34.146088031585066,881,conventional,Conventional,KPK-AJK,1.3754428016555844,False
0,non_landslide,73_34,73.79772557453553,34.878214456247186,882,conventional,Conventional,KPK-AJK,1.1125078212213997,False
0,non_landslide,73_34,73.68767941963753,34.548084909755325,883,conventional,Conventional,KPK-AJK,1.4567997232012342,False
0,non_landslide,73_34,73.70115482302106,34.16854406449022,884,conventional,Conventional,KPK-AJK,1.1625216350311138,False
0,non_landslide,73_34,73.27894483977553,34.09892411974277,885,conventional,Conventional,KPK-AJK,1.2739379065167402,False
0,non_landslide,73_34,73.2744545250147,34.954572102686384,886,conventional,Conventional,KPK-AJK,1.0338439736863614,False
0,non_landslide,73_34,73.37326820435906,34.98601322421424,887,conventional,Conventional,KPK-AJK,1.6542159742343716,False
0,non_landslide,73_34,73.64950059641794,34.96804750606991,888,conventional,Conventional,KPK-AJK,1.1665027892126476,False
