feature_set,feature_set_name,model,model_name,fold,n_train,n_test,n_test_pos,n_test_neg,roc_auc,pr_auc,balanced_accuracy,f1,brier,threshold
alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees,5,2742,574,241,333,0.9554782998766401,0.9361775738715219,0.8699487869612351,0.85,0.08931990185452675,0.5759483401506504
alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost,1,2592,724,399,325,0.9484326200115674,0.9558194143689477,0.8695392326971274,0.8786717752234994,0.09509296530652822,0.44047433137893677
alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost,2,2411,905,532,373,0.9495051301175189,0.9550715258132685,0.8848747203128464,0.89453125,0.09264817629194211,0.49700525403022766
alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost,3,2673,643,196,447,0.9064169291877825,0.8231512008091518,0.8046100990731864,0.7388888888888889,0.11213072780952062,0.502271831035614
alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost,4,2846,470,140,330,0.972012987012987,0.937462448253147,0.9147186147186147,0.8648648648648649,0.062027616511546556,0.5196720361709595
alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost,5,2742,574,241,333,0.9616836753766215,0.9446628426761866,0.9039350553873375,0.8903225806451613,0.07098816593495191,0.5409178137779236
alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM,1,2592,724,399,325,0.9454559475612107,0.9541272077416256,0.8290534027376133,0.8086330935251799,0.10256209736552463,0.9011153363365617
alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM,2,2411,905,532,373,0.9486232336874357,0.955260721645379,0.8119368461367897,0.789010989010989,0.09528464352855999,0.8983585982961061
alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM,3,2673,643,196,447,0.9040428251837648,0.8191917319763052,0.7507647354243712,0.6645367412140575,0.1204611123977722,0.8326437126293343
alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM,4,2846,470,140,330,0.9708441558441558,0.936538273949905,0.9047619047619048,0.8773234200743495,0.05888842202018921,0.836566305732216
alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM,5,2742,574,241,333,0.9587305147471124,0.9464229137201876,0.8546347177052571,0.8301886792452831,0.07387995734229666,0.8510786637660671
fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2),1,2592,724,399,325,0.9416695585116637,0.9475394247251414,0.8657798342008869,0.8743589743589744,0.09451220902879745,0.5627229890233489
fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2),2,2411,905,532,373,0.9504323812211495,0.9615940360275406,0.870530044951521,0.8848015488867377,0.08684454261580707,0.619572805797892
fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2),3,2673,643,196,447,0.9126946080445602,0.8092690742321368,0.8034515819750719,0.7291666666666666,0.11315992521264263,0.42979195994946234
fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2),4,2846,470,140,330,0.9733766233766235,0.9389486005851471,0.9085497835497836,0.8620689655172413,0.05999057934064695,0.5412598638753443
fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2),5,2742,574,241,333,0.9549424943615815,0.9410830248018907,0.8947889798512205,0.8778467908902692,0.07899109095669155,0.5523472119473115
fused_reduced,Conventional + AlphaEarth Embeddings,random_forest,Random Forest,1,2592,724,399,325,0.9375207248891461,0.9455583791410942,0.8603701561596299,0.8660598179453837,0.10750052930049983,0.5150682684800387
fused_reduced,Conventional + AlphaEarth Embeddings,random_forest,Random Forest,2,2411,905,532,373,0.9438559535568143,0.9477382771957311,0.8539982664435889,0.8594377510040161,0.1074996538649289,0.5219994689277964
fused_reduced,Conventional + AlphaEarth Embeddings,random_forest,Random Forest,3,2673,643,196,447,0.8850842350362965,0.7852312054781432,0.7725654019997261,0.6936416184971098,0.12302261072775687,0.5227359093413582
fused_reduced,Conventional + AlphaEarth Embeddings,random_forest,Random Forest,4,2846,470,140,330,0.9711904761904762,0.9348760709587394,0.9095238095238095,0.8671328671328671,0.07220858313185176,0.5235165666044107
fused_reduced,Conventional + AlphaEarth Embeddings,random_forest,Random Forest,5,2742,574,241,333,0.9548926519880877,0.9403603438255109,0.8677370316374465,0.8470066518847007,0.08811511341440796,0.5366625213956014
fused_reduced,Conventional + AlphaEarth Embeddings,extra_trees,Extra Trees,1,2592,724,399,325,0.93475997686524,0.9435754681014417,0.8049585502217081,0.775811209439528,0.11526453998558599,0.6199845962195312
fused_reduced,Conventional + AlphaEarth Embeddings,extra_trees,Extra Trees,2,2411,905,532,373,0.9493539478723617,0.952659782154851,0.8402709185833215,0.8296296296296296,0.10664490181786405,0.5920276623539521
fused_reduced,Conventional + AlphaEarth Embeddings,extra_trees,Extra Trees,3,2673,643,196,447,0.9005387389855272,0.8153509753565616,0.7897947769711912,0.7204610951008645,0.11640561614132293,0.528813875796788
fused_reduced,Conventional + AlphaEarth Embeddings,extra_trees,Extra Trees,4,2846,470,140,330,0.9719480519480519,0.9308908693756239,0.9084415584415584,0.8714285714285714,0.07397815096117645,0.5468462837445036
fused_reduced,Conventional + AlphaEarth Embeddings,extra_trees,Extra Trees,5,2742,574,241,333,0.953646592650742,0.9368092613089815,0.8554259653844716,0.8314087759815243,0.09253611239950159,0.5582014546391336
fused_reduced,Conventional + AlphaEarth Embeddings,xgboost,XGBoost,1,2592,724,399,325,0.9485405822247926,0.9528819816648874,0.8741546173125121,0.882051282051282,0.09526782415212091,0.4425134062767029
fused_reduced,Conventional + AlphaEarth Embeddings,xgboost,XGBoost,2,2411,905,532,373,0.9562629764760426,0.9642387086648365,0.8919928843556613,0.9032882011605415,0.09116747116085172,0.43995171785354614
fused_reduced,Conventional + AlphaEarth Embeddings,xgboost,XGBoost,3,2673,643,196,447,0.9098981874629046,0.8262792666530053,0.8095751723508195,0.7507163323782235,0.1113309142715082,0.5117478966712952
fused_reduced,Conventional + AlphaEarth Embeddings,xgboost,XGBoost,4,2846,470,140,330,0.9736580086580087,0.9419952305659751,0.9132034632034631,0.8619528619528619,0.059061693660010656,0.47566935420036316
fused_reduced,Conventional + AlphaEarth Embeddings,xgboost,XGBoost,5,2742,574,241,333,0.9620948749579455,0.9492592445399729,0.8997856777939766,0.8855291576673866,0.07175419629109928,0.5249663591384888
fused_reduced,Conventional + AlphaEarth Embeddings,lightgbm,LightGBM,1,2592,724,399,325,0.9449084249084249,0.9434034999737484,0.8202814729130519,0.7965116279069767,0.1031997706557199,0.9059632543504552
fused_reduced,Conventional + AlphaEarth Embeddings,lightgbm,LightGBM,2,2411,905,532,373,0.9552097401681146,0.9643131827356219,0.8033244975710052,0.7667804323094426,0.09280683479152556,0.915587215941559
fused_reduced,Conventional + AlphaEarth Embeddings,lightgbm,LightGBM,3,2673,643,196,447,0.9025475962196959,0.8217327386938931,0.739128201616217,0.6449511400651465,0.12104068986173376,0.8437133698606362
fused_reduced,Conventional + AlphaEarth Embeddings,lightgbm,LightGBM,4,2846,470,140,330,0.9731385281385282,0.9446298947426279,0.8985930735930736,0.8745247148288974,0.05760425922079851,0.8536152963297426
fused_reduced,Conventional + AlphaEarth Embeddings,lightgbm,LightGBM,5,2742,574,241,333,0.9598644287440967,0.9488647546381205,0.8182186335713306,0.7791563275434243,0.0750730309423045,0.8846022405786581
